Item Planning Level,Actuals
Nike_Other_MENS_APPAREL DIVISION_Mens Running_Nike_Other,160.00000085
Nike_Other_KIDS_APPAREL DIVISION_Kids Basketball_Basketball Mens & Womens,149.00000039999998
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,148.00000048000004
Nike_Other_KIDS_EQUIPMENT DIVISION_Kids Running and Fitness_All Other Sports Kids,141.00000122
Nike_Other_WOMENS_EQUIPMENT DIVISION_No Fields of Play_Nike_Other,136.0000015
Nike_Other_KIDS_EQUIPMENT DIVISION_Kids Lifestyle_Training Kids,127.00000079000004
NOT_SUPPLD_Other_NOT_SUPPLD_APPAREL DIVISION_NOT_SUPPLD_NoBrand,120.99999995
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Basketball_Nike_Other,120.00000068
Nike_ACG_MENS_EQUIPMENT DIVISION_No Fields of Play_Running Mens & Womens,101.0
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Sport_All Other Sports Mens & Womens,86.00000035
Jordan_Other_WOMENS_FOOTWEAR DIVISION_Jordan Streetwear_Jordan Global Football,77.00000046000001
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Sport_American Football Mens & Womens,60.99999987
Nike_Other_KIDS_FOOTWEAR DIVISION_No Fields of Play_American Football Kids,53.0
Nike_Other_KIDS_FOOTWEAR DIVISION_No Fields of Play_Golf Kids,45.00000038
Nike_Other_KIDS_APPAREL DIVISION_Womens Sport_Basketball Kids,36.000000160000006
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Lifestyle_Global Football Mens & Womens,30.00000006
Jordan_Other_MENS_EQUIPMENT DIVISION_Jordan Sport_Jordan Golf,28.00000022
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Sport_Baseball/Softball Mens & Womens,25.000000350000004
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_All Other Sports Mens & Womens,23.00000009
NOT_SUPPLD_Other_MENS_FOOTWEAR DIVISION_NOT_SUPPLD_NoBrand,20.000000140000004
Nike_Other_KIDS_EQUIPMENT DIVISION_No Fields of Play_Golf Kids,20.00000013
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Sport_Nike_Other,19.00000026
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_Golf Mens & Womens,19.00000009
NOT_SUPPLD_Other_WOMENS_APPAREL DIVISION_NOT_SUPPLD_NoBrand,19.00000007
Jordan_Other_WOMENS_EQUIPMENT DIVISION_Jordan Sport_Jordan_Other,16.000000030000002
NOT_SUPPLD_Other_WOMENS_FOOTWEAR DIVISION_NOT_SUPPLD_NoBrand,15.00000015
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Running_Nike_Other,15.00000009
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Holistic Fitness_Running Mens & Womens,15.00000005
Nike_Other_KIDS_APPAREL DIVISION_Kids Lifestyle_Nike Sportswear Mens & Womens,14.0
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Running_All Other Sports Mens & Womens,13.00000005
NOT_SUPPLD_Other_KIDS_APPAREL DIVISION_NOT_SUPPLD_NoBrand,13.00000003
Nike_ACG_WOMENS_EQUIPMENT DIVISION_No Fields of Play_ACG Mens & Womens,12.9999999
NOT_SUPPLD_Other_MENS_APPAREL DIVISION_NOT_SUPPLD_NoBrand,11.00000003
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Lifestyle_All Other Sports Mens & Womens,11.0
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Running_All Other Sports Mens & Womens,10.0000001
Nike_Other_MENS_APPAREL DIVISION_Mens Sport_Nike Sportswear Mens & Womens,10.00000006
Jordan_Other_MENS_FOOTWEAR DIVISION_Jordan Sport_Jordan Running,10.00000003
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_Nike_Other,9.0
Nike_Other_KIDS_APPAREL DIVISION_Kids Running and Fitness_Nike_Other,8.000000029999999
Nike_Other_KIDS_APPAREL DIVISION_Kids Football_Nike_Other,7.000000050000001
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Fitness_Running Mens & Womens,7.00000003
Nike_Other_MENS_APPAREL DIVISION_Mens Sport_Baseball/Softball Mens & Womens,6.0
Nike_Other_MENS_APPAREL DIVISION_Mens Football_Nike_Other,4.000000099999999
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Sport_Baseball/Softball Mens & Womens,4.00000009
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Lifestyle_Nike_Other,4.00000003
NOT_SUPPLD_Other_KIDS_FOOTWEAR DIVISION_NOT_SUPPLD_NoBrand,2.00000006
Jordan_Other_KIDS_EQUIPMENT DIVISION_Jordan Streetwear_Jordan Streetwear,2.00000003
Nike_SKIMS_WOMENS_APPAREL DIVISION_Womens Holistic Fitness_Running Mens & Womens,2.00000003
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan_Other,2.00000003
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Football_Nike_Other,2.0
Nike_SKIMS_WOMENS_APPAREL DIVISION_Womens Holistic Fitness_Basketball Mens & Womens,2.0
Nike_Other_MENS_APPAREL DIVISION_Mens Lifestyle_American Football Mens & Womens,2.0
Nike_Other_KIDS_APPAREL DIVISION_Kids Lifestyle_Training Kids,2.0
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Running_All Other Sports Mens & Womens,2.0
Jordan_Other_MENS_EQUIPMENT DIVISION_Jordan Sport_Jordan Running,1.0000000299999998
Nike_Other_KIDS_APPAREL DIVISION_Kids Basketball_Training Kids,1.0000000299999998
NOT_SUPPLD_Other_MENS_EQUIPMENT DIVISION_NOT_SUPPLD_NoBrand,1.0000000299999998
Nike_Other_WOMENS_EQUIPMENT DIVISION_No Fields of Play_Global Football Mens & Womens,1.0000000299999998
Nike_ACG_MENS_EQUIPMENT DIVISION_No Fields of Play_ACG Mens & Womens,1.0000000299999998
Nike_Other_KIDS_APPAREL DIVISION_No Fields of Play_Baseball/Softball Kids,1.0000000299999998
Nike_Other_MENS_APPAREL DIVISION_No Fields of Play_Training Mens & Womens,1.0000000299999998
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_American Football Mens & Womens,1.00000002
Nike_Other_WOMENS_APPAREL DIVISION_Womens Lifestyle_Global Football Mens & Womens,1.00000002
Jordan_Other_MENS_FOOTWEAR DIVISION_Jordan Sport_Jordan_Other,1.0
Jordan_Other_MENS_FOOTWEAR DIVISION_Jordan Sport_Jordan Training,1.0
Nike_ACG_WOMENS_FOOTWEAR DIVISION_Womens Lifestyle_ACG Mens & Womens,1.0
Nike_Other_MENS_APPAREL DIVISION_Mens Sport_Nike_Other,1.0
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Fitness_Nike_Other,1.0
Nike_Other_MENS_APPAREL DIVISION_Mens Basketball_Nike_Other,1.0
