Forecast Iteration.[Forecast Iteration],Version.[Version Name],Time.[Partial Week],Stat Bucket Weight,Stat Bucket Weight AUR,Stat Bucket Weight AUR Fcst
FI-Default,CurrentWorkingView,21-Nov-21,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,28-Nov-21,0.1,0,0
FI-Default,CurrentWorkingView,01-Dec-21,0.12903225806451613,0.2,1
FI-Default,CurrentWorkingView,05-Dec-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,12-Dec-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,19-Dec-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,26-Dec-21,0.1935483870967742,0,0
FI-Default,CurrentWorkingView,01-Jan-22,0.03225806451612903,0.16666666666666666,1
FI-Default,CurrentWorkingView,02-Jan-22,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,09-Jan-22,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,16-Jan-22,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,23-Jan-22,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,30-Jan-22,0.06451612903225806,0,0
FI-Default,CurrentWorkingView,01-Feb-22,0.17857142857142858,0.2,1
FI-Default,CurrentWorkingView,06-Feb-22,0.25,0,0
FI-Default,CurrentWorkingView,13-Feb-22,0.25,0,0
FI-Default,CurrentWorkingView,20-Feb-22,0.25,0,0
FI-Default,CurrentWorkingView,27-Feb-22,0.07142857142857142,0,0
FI-Default,CurrentWorkingView,01-Mar-22,0.16129032258064516,0.2,1
FI-Default,CurrentWorkingView,06-Mar-22,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,13-Mar-22,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,20-Mar-22,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,27-Mar-22,0.16129032258064516,0,0
FI-Default,CurrentWorkingView,01-Apr-22,0.06666666666666667,0.2,1
FI-Default,CurrentWorkingView,03-Apr-22,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,10-Apr-22,0.23333333333333334,0,0
